schema_version,bench,mode,seed,space_bytes,slots,addr_bits,ticks_total,moved_bits_total,vmrep_bits_sum_total,vmrep_bits_uniq_dst_total,vmrep_avg_bits_sum_per_tick,vmrep_avg_bits_uniq_dst_per_tick,thr_from,thr_len,thr_avg_bits_sum_per_tick,thr_avg_bits_uniq_dst_per_tick,notes,git_rev,copies_total,expected_bits_per_tick
csv.v0,pack,pack,1,524288,64,24,100,204800,204800,204800,2048.000,2048.000,-,-,-,-,COPIES=16 CHUNK_BYTES=16 SRC_STRIDE_BYTES=4096 SEED=1 COPIES_TOTAL=16 EXPECTED_BITS_PER_TICK=2048,f701bfa,16,2048
csv.v0,permute,random,1,524288,64,24,100,204800,204800,204800,2048.000,2048.000,-,-,-,-,COPIES=16 CHUNK_BYTES=16 MODE=random SEED=1 COPIES_TOTAL=16 EXPECTED_BITS_PER_TICK=2048,f701bfa,16,2048
csv.v0,bulkcopy,,,524288,64,24,100,819200,819200,819200,8192.000,8192.000,-,-,-,-,LEN_BYTES=1024 LIFE=100 COPIES_TOTAL=1 EXPECTED_BITS_PER_TICK=8192,f701bfa,1,8192
