schema_version,bench,mode,seed,space_bytes,slots,addr_bits,ticks_total,moved_bits_total,vmrep_bits_sum_total,vmrep_bits_uniq_dst_total,vmrep_avg_bits_sum_per_tick,vmrep_avg_bits_uniq_dst_per_tick,thr_from,thr_len,thr_avg_bits_sum_per_tick,thr_avg_bits_uniq_dst_per_tick,notes,git_rev,copies_total,expected_bits_per_tick
0,scheduler,demo_instance.json,0,0,20,0,40,71424,-,-,1785.600000,1785.600000,-,-,-,-,solver=baseline;lb=39;gap=1;gap_ratio=0.025641;bw=256;util=0.697500;solve_ms=53.667;validate_ms=51.244,fdb287a,279,2560
0,scheduler,demo_instance.json,0,0,20,0,39,71424,-,-,1831.384615,1831.384615,-,-,-,-,solver=greedy;lb=39;gap=0;gap_ratio=0.000000;bw=256;util=0.715385;solve_ms=56.244;validate_ms=51.487,fdb287a,279,2560
